NodeID,X,Y,Z,Ux,Uy,Uz
299,-36.9245,19.05,1,0,0,0
300,-37.9269,19.05,1,0,0,0
301,-38.9292,19.05,1,0,0,0
302,-39.9316,19.05,1,0,0,0
303,-40.934,19.05,1,0,0,0
304,-41.9363,19.05,1,0,0,0
305,-42.9387,19.05,1,0,0,0
306,-43.941,19.05,1,0,0,0
307,-44.9434,19.05,1,0,0,0
308,-45.9458,19.05,1,0,0,0
309,-46.9481,19.05,1,0,0,0
310,-47.9505,19.05,1,0,0,0
311,-48.9528,19.05,1,0,0,0
312,-49.9552,19.05,1,0,0,0
313,-50.9575,19.05,1,0,0,0
314,-51.9599,19.05,1,0,0,0
315,-52.9623,19.05,1,0,0,0
316,-53.9646,19.05,1,0,0,0
317,-54.967,19.05,1,0,0,0
318,-55.9693,19.05,1,0,0,0
319,-56.9717,19.05,1,0,0,0
320,-57.9741,19.05,1,0,0,0
321,-58.9764,19.05,1,0,0,0
322,-59.9788,19.05,1,0,0,0
323,-60.9811,19.05,1,0,0,0
324,-61.9835,19.05,1,0,0,0
325,-62.9858,19.05,1,0,0,0
326,-63.9882,19.05,1,0,0,0
327,-64.9906,19.05,1,0,0,0
328,-65.9929,19.05,1,0,0,0
329,-66.9953,19.05,1,0,0,0
330,-67.9976,19.05,1,0,0,0
331,-15.875,1.42895,1,0,0,0
332,-15.875,2.40789,1,0,0,0
333,-15.875,3.38684,1,0,0,0
334,-15.875,4.36579,1,0,0,0
335,-15.875,5.34474,1,0,0,0
336,-15.875,6.32368,1,0,0,0
337,-15.875,7.30263,1,0,0,0
338,-15.875,8.28158,1,0,0,0
339,-15.875,9.26053,1,0,0,0
340,-15.875,10.2395,1,0,0,0
341,-15.875,11.2184,1,0,0,0
342,-15.875,12.1974,1,0,0,0
343,-15.875,13.1763,1,0,0,0
344,-15.875,14.1553,1,0,0,0
345,-15.875,15.1342,1,0,0,0
346,-15.875,16.1132,1,0,0,0
347,-15.875,17.0921,1,0,0,0
348,-15.875,18.0711,1,0,0,0
349,-15.875,19.05,0.666667,0,0,0
350,-15.875,19.05,0.333333,0,0,0
351,-15.875,0.45,0.333333,0,0,0
352,-15.875,0.45,0.666667,0,0,0
353,-69,19.05,0.666667,0,0,0
354,-69,19.05,0.333333,0,0,0
355,-69,0.45,0.333333,0,0,0
356,-69,0.45,0.666667,0,0,0
357,16.8774,0.45,1,0,0,0
358,17.8797,0.45,1,0,0,0
359,18.8821,0.45,1,0,0,0
360,19.8844,0.45,1,0,0,0
361,20.8868,0.45,1,0,0,0
362,21.8892,0.45,1,0,0,0
363,22.8915,0.45,1,0,0,0
364,23.8939,0.45,1,0,0,0
365,24.8962,0.45,1,0,0,0
366,25.8986,0.45,1,0,0,0
367,26.9009,0.45,1,0,0,0
368,27.9033,0.45,1,0,0,0
369,28.9057,0.45,1,0,0,0
370,29.908,0.45,1,0,0,0
371,30.9104,0.45,1,0,0,0
372,31.9127,0.45,1,0,0,0
373,32.9151,0.45,1,0,0,0
374,33.9175,0.45,1,0,0,0
375,34.9198,0.45,1,0,0,0
376,35.9222,0.45,1,0,0,0
377,36.9245,0.45,1,0,0,0
378,37.9269,0.45,1,0,0,0
379,38.9292,0.45,1,0,0,0
380,39.9316,0.45,1,0,0,0
381,40.934,0.45,1,0,0,0
382,41.9363,0.45,1,0,0,0
383,42.9387,0.45,1,0,0,0
384,43.941,0.45,1,0,0,0
385,44.9434,0.45,1,0,0,0
386,45.9458,0.45,1,0,0,0
387,46.9481,0.45,1,0,0,0
388,47.9505,0.45,1,0,0,0
389,48.9528,0.45,1,0,0,0
390,49.9552,0.45,1,0,0,0
391,50.9575,0.45,1,0,0,0
392,51.9599,0.45,1,0,0,0
393,52.9623,0.45,1,0,0,0
394,53.9646,0.45,1,0,0,0
395,54.967,0.45,1,0,0,0
396,55.9693,0.45,1,0,0,0
397,56.9717,0.45,1,0,0,0
398,57.9741,0.45,1,0,0,0
399,58.9764,0.45,1,0,0,0
400,59.9788,0.45,1,0,0,0
401,60.9811,0.45,1,0,0,0
402,61.9835,0.45,1,0,0,0
403,62.9858,0.45,1,0,0,0
404,63.9882,0.45,1,0,0,0
405,64.9906,0.45,1,0,0,0
406,65.9929,0.45,1,0,0,0
407,66.9953,0.45,1,0,0,0
408,67.9976,0.45,1,0,0,0
409,69,1.42895,1,0,0,0
410,69,2.40789,1,0,0,0
411,69,3.38684,1,0,0,0
412,69,4.36579,1,0,0,0
413,69,5.34474,1,0,0,0
414,69,6.32368,1,0,0,0
415,69,7.30263,1,0,0,0
416,69,8.28158,1,0,0,0
417,69,9.26053,1,0,0,0
418,69,10.2395,1,0,0,0
419,69,11.2184,1,0,0,0
420,69,12.1974,1,0,0,0
421,69,13.1763,1,0,0,0
422,69,14.1553,1,0,0,0
423,69,15.1342,1,0,0,0
424,69,16.1132,1,0,0,0
425,69,17.0921,1,0,0,0
426,69,18.0711,1,0,0,0
427,67.9976,19.05,1,0,0,0
428,66.9953,19.05,1,0,0,0
429,65.9929,19.05,1,0,0,0
430,64.9906,19.05,1,0,0,0
431,63.9882,19.05,1,0,0,0
432,62.9858,19.05,1,0,0,0
433,61.9835,19.05,1,0,0,0
434,60.9811,19.05,1,0,0,0
435,59.9788,19.05,1,0,0,0
436,58.9764,19.05,1,0,0,0
437,57.9741,19.05,1,0,0,0
438,56.9717,19.05,1,0,0,0
439,55.9693,19.05,1,0,0,0
440,54.967,19.05,1,0,0,0
441,53.9646,19.05,1,0,0,0
442,52.9623,19.05,1,0,0,0
443,51.9599,19.05,1,0,0,0
444,50.9575,19.05,1,0,0,0
445,49.9552,19.05,1,0,0,0
446,48.9528,19.05,1,0,0,0
447,47.9505,19.05,1,0,0,0
448,46.9481,19.05,1,0,0,0
449,45.9458,19.05,1,0,0,0
450,44.9434,19.05,1,0,0,0
451,43.941,19.05,1,0,0,0
452,42.9387,19.05,1,0,0,0
453,41.9363,19.05,1,0,0,0
454,40.934,19.05,1,0,0,0
455,39.9316,19.05,1,0,0,0
456,38.9292,19.05,1,0,0,0
457,37.9269,19.05,1,0,0,0
458,36.9245,19.05,1,0,0,0
459,35.9222,19.05,1,0,0,0
460,34.9198,19.05,1,0,0,0
461,33.9175,19.05,1,0,0,0
462,32.9151,19.05,1,0,0,0
463,31.9127,19.05,1,0,0,0
464,30.9104,19.05,1,0,0,0
465,29.908,19.05,1,0,0,0
466,28.9057,19.05,1,0,0,0
467,27.9033,19.05,1,0,0,0
468,26.9009,19.05,1,0,0,0
469,25.8986,19.05,1,0,0,0
470,24.8962,19.05,1,0,0,0
471,23.8939,19.05,1,0,0,0
472,22.8915,19.05,1,0,0,0
473,21.8892,19.05,1,0,0,0
474,20.8868,19.05,1,0,0,0
475,19.8844,19.05,1,0,0,0
476,18.8821,19.05,1,0,0,0
477,17.8797,19.05,1,0,0,0
478,16.8774,19.05,1,0,0,0
479,15.875,18.0711,1,0,0,0
480,15.875,17.0921,1,0,0,0
