ElementID,Type,Volume,Sxx,Syy,Szz,Sxy,Sxz,Syz,Exx,Eyy,Ezz,Exy,Exz,Eyz
146,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
147,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
148,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
149,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
150,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
151,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
152,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
153,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
154,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
155,C3D8,0.327084,0,0,0,0,0,0,0,0,0,0,0,0
156,C3D8,0.327088,0,0,0,0,0,0,0,0,0,0,0,0
157,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
158,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
159,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
160,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
161,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
162,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
163,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
164,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
165,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
166,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
167,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
168,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
169,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
170,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
171,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
172,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
173,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
174,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
175,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
176,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
177,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
178,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
179,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
180,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
181,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
182,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
183,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
184,C3D8,0.327086,0,0,0,0,0,0,0,0,0,0,0,0
185,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
186,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
187,C3D8,0.327085,0,0,0,0,0,0,0,0,0,0,0,0
